Symbol,Kmeans
GNBP-like3,Cluster 2
CR46015,Cluster 2
Ilp6,Cluster 2
CG13283,Cluster 2
CG30022,Cluster 2
CG43179,Cluster 2
CecB,Cluster 2
CG2310,Cluster 2
Cyp316a1,Cluster 2
Drs,Cluster 2
CG6767,Cluster 2
tamo,Cluster 2
CCHa2,Cluster 2
Cwc25,Cluster 2
CG9512,Cluster 2
AnxB9,Cluster 2
NimC4,Cluster 2
CR45004,Cluster 2
CR45553,Cluster 2
Gnmt,Cluster 2
Diedel,Cluster 2
CG31683,Cluster 2
CG31313,Cluster 2
Gr94a,Cluster 2
Sp1,Cluster 2
Or85d,Cluster 2
CG32260,Cluster 2
Tsp,Cluster 2
f,Cluster 2
CG3117,Cluster 2
yellow-f,Cluster 2
CG17681,Cluster 2
Spn43Ad,Cluster 2
Cyp9b2,Cluster 2
CR45914,Cluster 2
NimB1,Cluster 2
CG17107,Cluster 2
Spn27A,Cluster 2
CG7252,Cluster 2
pasi1,Cluster 2
CR46115,Cluster 2
CG31370,Cluster 2
CG18547,Cluster 2
CG18557,Cluster 2
GNBP1,Cluster 2
CG14357,Cluster 2
CG43133,Cluster 2
TotA,Cluster 2
DptB,Cluster 2
Lac,Cluster 2
Cyp6a13,Cluster 2
CG4096,Cluster 2
CG16713,Cluster 2
CG10352,Cluster 2
CG43085,Cluster 2
Cyp28d1,Cluster 2
Spn42Db,Cluster 2
TotC,Cluster 2
CG30083,Cluster 2
al,Cluster 2
CG13795,Cluster 2
CG6749,Cluster 2
CG16704,Cluster 2
ppk7,Cluster 2
IM3,Cluster 2
CG9289,Cluster 2
CG33282,Cluster 2
nerfin-1,Cluster 2
Tsp42Eh,Cluster 2
CG31219,Cluster 2
CG33460,Cluster 2
snRNA:U5:35D,Cluster 2
CecA1,Cluster 2
CG7896,Cluster 2
CG12446,Cluster 2
Obp99b,Cluster 2
CG43202,Cluster 2
Ir40a,Cluster 2
fat-spondin,Cluster 2
Ugt86Dd,Cluster 2
CG31705,Cluster 2
CG9649,Cluster 2
IM23,Cluster 2
Ugt86Da,Cluster 2
yellow-f2,Cluster 2
Toll-4,Cluster 2
CG34054,Cluster 2
CG13160,Cluster 2
CR45045,Cluster 2
CG12986,Cluster 2
Idgf1,Cluster 2
Gr97a,Cluster 2
CG6701,Cluster 2
ade2,Cluster 2
CR44517,Cluster 2
CG43920,Cluster 2
CG15080,Cluster 2
CG30002,Cluster 2
ALiX,Cluster 2
thw,Cluster 2
CR43364,Cluster 2
CG1311,Cluster 2
CR45564,Cluster 2
CG5768,Cluster 2
uif,Cluster 2
CG15398,Cluster 2
Cpr76Bd,Cluster 2
CG8249,Cluster 2
CecA2,Cluster 2
Edg91,Cluster 2
CG13806,Cluster 2
CG13955,Cluster 2
CR44137,Cluster 2
CG12224,Cluster 2
CG8870,Cluster 2
GstE8,Cluster 2
mas,Cluster 2
CR44964,Cluster 2
Muc68Ca,Cluster 2
CR44043,Cluster 2
CG33474,Cluster 2
geminin,Cluster 2
Tep3,Cluster 2
CG6428,Cluster 2
CG9338,Cluster 2
Karl,Cluster 2
CG18477,Cluster 2
Spx,Cluster 2
CG18518,Cluster 2
CR44842,Cluster 2
SPE,Cluster 2
CG45079,Cluster 2
dos,Cluster 2
Mtk,Cluster 2
CG33124,Cluster 2
Idgf5,Cluster 2
CG32335,Cluster 2
cold,Cluster 2
Iml1,Cluster 2
Ets21C,Cluster 2
CG13646,Cluster 2
CG3376,Cluster 2
CG31664,Cluster 2
Cyp309a1,Cluster 2
Hsp70Bc,Cluster 2
CG13749,Cluster 2
CG12014,Cluster 2
CG1139,Cluster 2
CG18563,Cluster 2
CG11089,Cluster 2
PGRP-LF,Cluster 2
CG44325,Cluster 2
CG14291,Cluster 2
CG8100,Cluster 2
Hsp70Bbb,Cluster 2
CG8665,Cluster 2
CG5966,Cluster 2
CG11893,Cluster 2
tobi,Cluster 2
CG12826,Cluster 2
Cyp6a23,Cluster 2
Spn88Eb,Cluster 2
Mal-B2,Cluster 2
AdSL,Cluster 2
Tep2,Cluster 2
MFS3,Cluster 2
Nmdmc,Cluster 2
Hayan,Cluster 2
CG11951,Cluster 2
obst-H,Cluster 2
SPH93,Cluster 2
Tsf1,Cluster 2
insc,Cluster 2
CG8550,Cluster 2
hgo,Cluster 2
Lsp1alpha,Cluster 2
Irc,Cluster 2
alphagamma-element:CR32865,Cluster 2
Sp212,Cluster 2
CG4757,Cluster 2
CG42876,Cluster 2
Cpr62Bb,Cluster 2
CG13117,Cluster 2
CG8358,Cluster 2
CG14245,Cluster 2
Sid,Cluster 2
CG31036,Cluster 2
Hsp70Aa,Cluster 2
CG42370,Cluster 2
pug,Cluster 2
Cyp28a5,Cluster 2
Hsp70Ba,Cluster 2
Ance-3,Cluster 2
Hsp70Ab,Cluster 2
GstE1,Cluster 2
Amyrel,Cluster 2
CG31028,Cluster 2
CG30098,Cluster 2
wb,Cluster 2
CG42846,Cluster 2
CG7997,Cluster 2
Sardh,Cluster 2
CG33462,Cluster 2
CG13311,Cluster 2
CR44953,Cluster 2
CG9733,Cluster 2
ade5,Cluster 2
CG15666,Cluster 2
cDIP,Cluster 2
Faa,Cluster 2
CG11796,Cluster 2
ade3,Cluster 2
CG3999,Cluster 2
l(2)k05911,Cluster 2
Lip4,Cluster 2
CG13796,Cluster 2
Hsp70Bb,Cluster 2
mle,Cluster 2
CG14636,Cluster 2
CG34215,Cluster 2
CG13837,Cluster 2
CG1208,Cluster 2
tld,Cluster 2
CG34040,Cluster 2
CG32040,Cluster 2
CG2121,Cluster 2
AttD,Cluster 2
mv,Cluster 2
CG6484,Cluster 2
dlp,Cluster 2
CG6300,Cluster 2
Mal-A4,Cluster 2
CG15153,Cluster 2
CG10559,Cluster 2
CG13575,Cluster 2
CG31100,Cluster 2
CR32553,Cluster 2
CG12991,Cluster 2
CR45183,Cluster 2
GstD9,Cluster 2
Spn28Dc,Cluster 2
CapaR,Cluster 2
spict,Cluster 2
CG17324,Cluster 2
Tsf3,Cluster 2
hdm,Cluster 2
CG33144,Cluster 2
CG9150,Cluster 2
cd,Cluster 2
GIIIspla2,Cluster 2
CG6785,Cluster 2
CG7296,Cluster 2
Listericin,Cluster 2
HHEX,Cluster 2
Mal-A7,Cluster 2
GstD3,Cluster 2
Sp7,Cluster 2
CG4372,Cluster 2
bw,Cluster 2
Mal-A1,Cluster 2
CG14185,Cluster 2
CG4377,Cluster 2
CG13177,Cluster 2
CG7906,Cluster 2
Mal-A6,Cluster 2
GstD8,Cluster 2
CG34227,Cluster 2
Btnd,Cluster 2
CG34165,Cluster 2
CR44912,Cluster 2
CG13318,Cluster 2
CG10073,Cluster 2
GstD5,Cluster 2
CG14528,Cluster 2
CG6495,Cluster 2
Cyp309a2,Cluster 2
TwdlT,Cluster 2
CG34265,Cluster 2
Lip3,Cluster 2
Oatp26F,Cluster 2
hll,Cluster 2
CR42646,Cluster 2
Mal-B1,Cluster 2
CR44138,Cluster 2
CG16965,Cluster 2
Npc1b,Cluster 2
Gba1a,Cluster 2
CG13386,Cluster 2
CG13618,Cluster 2
Mal-A8,Cluster 2
CR44300,Cluster 2
Cad99C,Cluster 2
wbl,Cluster 2
Cyp6g1,Cluster 2
CG5849,Cluster 2
dan,Cluster 2
Dgp-1,Cluster 2
Rhp,Cluster 2
Vps24,Cluster 2
CG11159,Cluster 2
CG5999,Cluster 2
CG31694,Cluster 2
CG13288,Cluster 2
CG4363,Cluster 2
Obp56a,Cluster 2
CR44907,Cluster 2
otk2,Cluster 2
CR46248,Cluster 2
CG5002,Cluster 2
CG10584,Cluster 2
ORY,Cluster 2
Ir93a,Cluster 2
CR41501,Cluster 2
CG13135,Cluster 2
CG14627,Cluster 2
CG14625,Cluster 2
CG33958,Cluster 2
CG42331,Cluster 2
CG10814,Cluster 2
CG11854,Cluster 2
yellow-e3,Cluster 2
betaTub60D,Cluster 2
Swim,Cluster 2
CG8093,Cluster 2
