fb_a	fb_b	symbol_a	symbol_b	interaction
FBgn0284408	FBgn0004644	trol	hh	genetic
FBgn0286784	FBgn0267972	TER94	Der-1	genetic
FBgn0263987	FBgn0261618	spoon	larp	genetic
FBgn0041191	FBgn0026379	Rheb	Pten	genetic
FBgn0004956	FBgn0011648	upd1	Mad	genetic
FBgn0004635	FBgn0010313	rho	corto	genetic
FBgn0260639	FBgn0000212	γTub23C	brm	genetic
FBgn0002783	FBgn0260397	mor	Su(var)3-3	genetic
FBgn0010389	FBgn0004644	htl	hh	genetic
FBgn0004108	FBgn0264975	Nrt	Nrg	genetic
FBgn0000479	FBgn0261988	dnc	Gprk2	genetic
FBgn0010333	FBgn0086361	Rac1	alph	genetic
FBgn0005638	FBgn0000097	slbo	aop	genetic
FBgn0003205	FBgn0003310	Ras85D	S	genetic
FBgn0003079	FBgn0036844	Raf	Mkp3	genetic
FBgn0003861	FBgn0013995	trp	Calx	genetic
FBgn0010397	FBgn0038197	LamC	foxo	genetic
FBgn0000017	FBgn0000320	Abl	eya	genetic
FBgn0051956	FBgn0004598	Pgant4	Fur2	genetic
FBgn0003295	FBgn0004635	ru	rho	genetic
FBgn0266584	FBgn0003310	Gli::spi	S	genetic
FBgn0021796	FBgn0010382	mTor	CycE	genetic
FBgn0003042	FBgn0263102	Pc	psq	genetic
FBgn0034970	FBgn0004872	yki	piwi	genetic
FBgn0003042	FBgn0013934	Pc	Su(Pc)35CD	genetic
FBgn0000382	FBgn0043884	csw	mask	genetic
FBgn0029870	FBgn0259834	Marf	out	genetic
FBgn0026181	FBgn0003514	Rok	sqh	genetic
FBgn0003205	FBgn0004177	Ras85D	mts	genetic
FBgn0010504	FBgn0266136	kermit	Gyc76C	genetic
FBgn0027598	FBgn0011230	cindr	poe	genetic
FBgn0039532	FBgn0010341	Mtl	Cdc42	genetic
FBgn0000014	FBgn0000015	abd-A	Abd-B	genetic
FBgn0000158	FBgn0001942	bam	eIF4A	genetic
FBgn0000404	FBgn0003302|FBgn0004106	CycA	rux|Cdk1	genetic
FBgn0001108	FBgn0003366	DCTN1-p150	sev	genetic
FBgn0005631	FBgn0267698	robo1	Pak	genetic
FBgn0015279	FBgn0263933	Pi3K92E	ebi	genetic
FBgn0010473	FBgn0027338	tutl	Kap-α3	genetic
FBgn0005631	FBgn0000017	robo1	Abl	genetic
FBgn0262252	FBgn0284084|FBgn0003525	mir-965	wg|stg	genetic
FBgn0010300	FBgn0003371	brat	sgg	genetic
FBgn0000017|FBgn0024277	FBgn0000578	Abl|trio	ena	genetic
FBgn0003731	FBgn0001108	Egfr	DCTN1-p150	genetic
FBgn0025740	FBgn0267698	PlexB	Pak	genetic
FBgn0003996	FBgn0011646	w	Low	genetic
FBgn0000154	FBgn0020263	Bar	oro	genetic
FBgn0011829	FBgn0028242	Ret	l(3)S001405	genetic
FBgn0034708	FBgn0014010	Vps35	Rab5	genetic
FBgn0010504	FBgn0001308	kermit	Khc	genetic
FBgn0004652	FBgn0002543	fru	robo2	genetic
FBgn0028581	FBgn0004367	mei-217	mei-41	genetic
FBgn0265778	FBgn0004636	PDZ-GEF	Rap1	genetic
FBgn0015946	FBgn0266717	grim	Bruce	genetic
FBgn0003392	FBgn0266599	shi	Hsc70-4	genetic
FBgn0024250	FBgn0003716|FBgn0011648	brk	tkv|Mad	genetic
FBgn0260987	FBgn0260632	vtd	dl	genetic
FBgn0259685	FBgn0002121	crb	l(2)gl	genetic
FBgn0004647	FBgn0045073	N	Stim	genetic
FBgn0019957	FBgn0259834	ND-42	out	genetic
FBgn0000524	FBgn0040206	dx	krz	genetic
FBgn0044028	FBgn0041604	Notum	dlp	genetic
FBgn0000212	FBgn0027655	brm	htt	genetic
FBgn0000629	FBgn0261885	E(z)	osa	genetic
FBgn0260397	FBgn0003507	Su(var)3-3	srp	genetic
FBgn0011715	FBgn0034179	Snr1	CG6805	genetic
FBgn0011706	FBgn0003997	rpr	hid	genetic
FBgn0004569	FBgn0040007	aos	RpL38	genetic
FBgn0003463	FBgn0286785	sog	scb	genetic
FBgn0003429	FBgn0003353	slo	sei	genetic
FBgn0038197	FBgn0037248	foxo	srl	genetic
FBgn0003205	FBgn0039183	Ras85D	Dis3	genetic
FBgn0034476	FBgn0033483	Toll-7	egr	genetic
FBgn0283472	FBgn0025825	S6k	HDAC3	genetic
FBgn0015664	FBgn0003079	Dref	Raf	genetic
FBgn0033027	FBgn0013348	TpnC4	TpnC41C	genetic
FBgn0027889	FBgn0031977	ball	baf	genetic
FBgn0004170	FBgn0002633	sc	E(spl)m7-HLH	genetic
FBgn0001079	FBgn0005355	fu	Su(fu)	genetic
FBgn0001297	FBgn0015544	kay	spag	genetic
FBgn0264975	FBgn0003731	Nrg	Egfr	genetic
FBgn0019686	FBgn0003124	lok	polo	genetic
FBgn0029891	FBgn0010288	Pink1	Uch	genetic
FBgn0034606	FBgn0003502	ASPP	Btk	genetic
FBgn0086384	FBgn0002931	Mer	net	genetic
FBgn0000463	FBgn0000212	Delta	brm	genetic
FBgn0086168	FBgn0020412	E(var)2-1	JIL-1	genetic
FBgn0000463	FBgn0001169	Delta	H	genetic
FBgn0041235	FBgn0045497	Gr59c	Gr22e	genetic
FBgn0001259	FBgn0086698	in	frtz	genetic
FBgn0035147	FBgn0263200	Gale	Galt	genetic
FBgn0266599	FBgn0037218	Hsc70-4	aux	genetic
FBgn0004170	FBgn0002781	sc	mod(mdg4)	genetic
FBgn0002121|FBgn0003975	FBgn0034970	l(2)gl|vg	yki	genetic
FBgn0262872	FBgn0260934	milt	par-1	genetic
FBgn0003366	FBgn0261270	sev	Sps1	genetic
FBgn0029891	FBgn0010100	Pink1	mAcon1	genetic
FBgn0003205	FBgn0003118	Ras85D	pnt	genetic
FBgn0260934	FBgn0001624	par-1	dlg1	genetic
FBgn0262473	FBgn0044047	Tl	Ilp6	genetic
FBgn0000490|FBgn0022238	FBgn0288966	dpp|lolal	Med	genetic
FBgn0004647	FBgn0267337	N	rn	genetic
FBgn0262319	FBgn0019985	mir-1000	mGluR	genetic
FBgn0003444	FBgn0041604	smo	dlp	genetic
FBgn0000241	FBgn0067873	bw	Mod(Prat:bw)3-2	genetic
FBgn0014020	FBgn0003041	Rho1	pbl	genetic
FBgn0041100	FBgn0051721	park	Trim9	genetic
FBgn0003205	FBgn0043884	Ras85D	mask	genetic
FBgn0283499	FBgn0003206	InR	Ras64B	genetic
FBgn0003545	FBgn0002924	sub	ncd	genetic
FBgn0036059	FBgn0015754	nudE	Lis-1	genetic
FBgn0284221	FBgn0000464	Sema5c	Lar	genetic
FBgn0036376	FBgn0024277	Liprin-β	trio	genetic
FBgn0028734	FBgn0002121	Fmr1	l(2)gl	genetic
FBgn0028582|FBgn0005632	FBgn0000319	lqf|faf	Chc	genetic
FBgn0260642	FBgn0003866	Antp	tsh	genetic
FBgn0004647	FBgn0003310	N	S	genetic
FBgn0003042	FBgn0002783	Pc	mor	genetic
FBgn0019990	FBgn0260446	Gcn2	GABA-B-R1	genetic
FBgn0288433	FBgn0002413	L	dco	genetic
FBgn0003416	FBgn0004638	sl	drk	genetic
FBgn0041100	FBgn0062442	park	Cisd	genetic
FBgn0004170	FBgn0264270	sc	Sxl	genetic
FBgn0020440	FBgn0262733|FBgn0264959	Fak	Src64B|Src42A	genetic
FBgn0264848	FBgn0003124	vih	polo	genetic
FBgn0033483	FBgn0086358	egr	Tab2	genetic
FBgn0086706	FBgn0017579	pix	RpL14	genetic
FBgn0003041	FBgn0261985	pbl	Ptpmeg	genetic
FBgn0003744	FBgn0000229	trc	bsk	genetic
FBgn0029891	FBgn0003744	Pink1	trc	genetic
FBgn0052150	FBgn0001085	meru	fz	genetic
FBgn0003996	FBgn0003261	w	Rm62	genetic
FBgn0011715	FBgn0033266	Snr1	Socs44A	genetic
FBgn0262516	FBgn0015924	Trpml	crq	genetic
FBgn0003042	FBgn0278608	Pc	Dsp1	genetic
FBgn0259685	FBgn0263933	crb	ebi	genetic
FBgn0029891	FBgn0250732	Pink1	gfzf	genetic
FBgn0003041	FBgn0266000	pbl	CG44774	genetic
FBgn0000463	FBgn0003310	Delta	S	genetic
FBgn0261109	FBgn0265968	mrn	Tfb5	genetic
FBgn0045852	FBgn0020496	ham	CtBP	genetic
FBgn0004198	FBgn0014037	ct	Su(Tpl)	genetic
FBgn0003366|FBgn0003205	FBgn0001078	sev|Ras85D	ftz-f1	genetic
FBgn0029800	FBgn0003997	lin-52	hid	genetic
FBgn0011604	FBgn0022764	Iswi	Sin3A	genetic
FBgn0004956	FBgn0034087	upd1	clu	genetic
FBgn0003996	FBgn0266450	w	Kr-h1	genetic
FBgn0260970	FBgn0026404	Ubr3	Dronc	genetic
FBgn0283451	FBgn0069446	br	E(br)420	genetic
FBgn0001075	FBgn0284247	ft	ds	genetic
FBgn0011715	FBgn0015805	Snr1	HDAC1	genetic
FBgn0023169	FBgn0262516	AMPKα	Trpml	genetic
FBgn0023172	FBgn0026181	RhoGEF2	Rok	genetic
FBgn0011829	FBgn0084819	Ret	l(3)S026238	genetic
FBgn0004647	FBgn0031434	N	insv	genetic
FBgn0026204	FBgn0011766	milou	E2f1	genetic
FBgn0026359	FBgn0003256	Su(Raf)43B	rl	genetic
FBgn0001075	FBgn0034264	ft	Dlish	genetic
FBgn0015509	FBgn0034224	Cul1	insb	genetic
FBgn0038197	FBgn0010379	foxo	Akt	genetic
FBgn0010215	FBgn0266997	α-Cat	α-Cat::shg	genetic
FBgn0000382	FBgn0000591	csw	E(spl)m8-HLH	genetic
FBgn0029791	FBgn0003984|FBgn0052179	AdamTS-B	vn|Krn	genetic
FBgn0011766|FBgn0011763	FBgn0001197	E2f1|Dp	His2Av	genetic
FBgn0035432|FBgn0033096	FBgn0025693	ZnT63C|Zip42C.1	ZnT41F	genetic
FBgn0002791	FBgn0046704	mr	Liprin-α	genetic
FBgn0031006	FBgn0003744	rictor	trc	genetic
FBgn0003997	FBgn0014388	hid	sty	genetic
FBgn0003205	FBgn0003310	Ras85D	S	genetic
FBgn0038805	FBgn0266411	TFAM	sima	genetic
FBgn0010382	FBgn0259685	CycE	crb	genetic
FBgn0040294|FBgn0033483	FBgn0010379	POSH|egr	Akt	genetic
FBgn0261647	FBgn0034246	Axud1	Dcr-2	genetic
FBgn0015838	FBgn0051774	Vang	fred	genetic
FBgn0002736	FBgn0003015	mago	osk	genetic
FBgn0004034	FBgn0004861	y	ph-p	genetic
FBgn0053196	FBgn0024509	dpy	Sec13	genetic
FBgn0003996	FBgn0000607	w	E(w<up>a</up>)	genetic
FBgn0000117	FBgn0039907	arm	lgs	genetic
FBgn0267978|FBgn0265598	FBgn0262447	ap|Bx	mir-14	genetic
FBgn0028434	FBgn0051453	Ercc1	pch2	genetic
FBgn0033483	FBgn0035049	egr	Mmp1	genetic
FBgn0003731	FBgn0261797	Egfr	Dhc64C	genetic
FBgn0024234	FBgn0037015	gbb	cmpy	genetic
FBgn0027598	FBgn0265464	cindr	Traf6	genetic
FBgn0003733	FBgn0010269	tor	Dsor1	genetic
FBgn0001085	FBgn0037671	fz	ATP6AP2	genetic
FBgn0031090	FBgn0025382	Rab35	Rab27	genetic
FBgn0025790	FBgn0267791	TBPH	HnRNP-K	genetic
FBgn0265487	FBgn0033378	mbl	tsu	genetic
FBgn0001325	FBgn0004872	Kr	piwi	genetic
FBgn0003053	FBgn0013671	peb	ms(3)neo94	genetic
FBgn0010433	FBgn0004859	ato	ci	genetic
FBgn0031057	FBgn0028671	Ubqn	Vha100-1	genetic
FBgn0024189	FBgn0265975	sns	hbs::sns	genetic
FBgn0003117	FBgn0030400	pnr	Pits	genetic
FBgn0005631|FBgn0013733	FBgn0250753	robo1|shot	kra	genetic
FBgn0288433	FBgn0000575	L	emc	genetic
FBgn0041604	FBgn0016797	dlp	fz2	genetic
FBgn0261456	FBgn0004838	hpo	Hrb27C	genetic
FBgn0011715	FBgn0027655	Snr1	htt	genetic
FBgn0033483	FBgn0003997	egr	hid	genetic
FBgn0010051	FBgn0285896	Itpr	btl	genetic
FBgn0003277	FBgn0262955	Polr2A	Polr2B	genetic
FBgn0004652	FBgn0011818	fru	oaf	genetic
FBgn0003410	FBgn0013941	sina	E(sina)6	genetic
FBgn0000629	FBgn0004103	E(z)	Pp1-87B	genetic
FBgn0020261	FBgn0035111	pcm	Dis3l2	genetic
FBgn0033483	FBgn0001965	egr	Sos	genetic
FBgn0003205|FBgn0262081	FBgn0283499	Ras85D|Csk	InR	genetic
FBgn0003996	FBgn0261238	w	Alh	genetic
FBgn0003392	FBgn0011760	shi	ctp	genetic
FBgn0029891	FBgn0036928	Pink1	Tom20	genetic
FBgn0003124	FBgn0035640	polo	mad2	genetic
FBgn0011666	FBgn0003410	msi	sina	genetic
FBgn0264672	FBgn0053196	Eogt	dpy	genetic
FBgn0033483	FBgn0000117	egr	arm	genetic
FBgn0003520	FBgn0041093	stau	stau::Mdoa\stau	genetic
FBgn0002774	FBgn0003598	mle	Su(var)3-7	genetic
FBgn0004170	FBgn0003567	sc	su(Hw)	genetic
FBgn0020309	FBgn0003525	crol	stg	genetic
FBgn0003944	FBgn0005386	Ubx	ash1	genetic
FBgn0004647	FBgn0021874	N	Nle	genetic
FBgn0030054	FBgn0002906	Caf1-180	Blm	genetic
FBgn0002940	FBgn0039640	ninaE	superdeath	genetic
FBgn0029798	FBgn0019686	Rtel1	lok	genetic
FBgn0011829	FBgn0010904	Ret	l(3)06906	genetic
FBgn0032292	FBgn0034970	EMC3	yki	genetic
FBgn0031461	FBgn0024913	daw	Actβ	genetic
FBgn0019957	FBgn0266411	ND-42	sima	genetic
FBgn0265778	FBgn0004636	PDZ-GEF	Rap1	genetic
FBgn0026379	FBgn0026181	Pten	Rok	genetic
FBgn0000463	FBgn0265598	Delta	Bx	genetic
FBgn0003900|FBgn0011656	FBgn0283451	twi|Mef2	br	genetic
FBgn0030600	FBgn0005632	hiw	faf	genetic
FBgn0260987	FBgn0000261	vtd	Cat	genetic
FBgn0033483	FBgn0039734	egr	Tace	genetic
FBgn0034970	FBgn0263198	yki	Acn	genetic
FBgn0004644	FBgn0003716	hh	tkv	genetic
FBgn0010300	FBgn0013469	brat	klu	genetic
FBgn0023172	FBgn0000384	RhoGEF2	cta	genetic
FBgn0002962	FBgn0003165	nanos	pum	genetic
FBgn0263198	FBgn0039421	Acn	Nil	genetic
FBgn0038385	FBgn0027598	Fbxl7	cindr	genetic
FBgn0003733	FBgn0014060	tor	Su(tor)2-87	genetic
FBgn0023518	FBgn0000546	trr	EcR	genetic
FBgn0033483	FBgn0001297	egr	kay	genetic
FBgn0003997	FBgn0026404	hid	Dronc	genetic
FBgn0038805	FBgn0032729	TFAM	L2HGDH	genetic
FBgn0000629	FBgn0003042	E(z)	Pc	genetic
FBgn0040344	FBgn0004244	Lztr1	Rdl	genetic
FBgn0030318	FBgn0003310	rho-4	S	genetic
FBgn0243512|FBgn0000179	FBgn0001079	puc|bi	fu	genetic
FBgn0011829	FBgn0084285	Ret	l(3)S026421	genetic
FBgn0003300	FBgn0285948	run	RpL27A	genetic
FBgn0035640|FBgn0000229	FBgn0003997	mad2|bsk	hid	genetic
FBgn0026598|FBgn0015589	FBgn0261456	Apc2|Apc	hpo	genetic
FBgn0003015	FBgn0002962	osk	nanos	genetic
FBgn0000183	FBgn0003520|FBgn0261797	BicD	stau|Dhc64C	genetic
FBgn0005638	FBgn0000964	slbo	tj	genetic
FBgn0000463	FBgn0004837	Delta	Su(H)	genetic
FBgn0004034	FBgn0003567	y	su(Hw)	genetic
FBgn0039234	FBgn0004647	Nct	N	genetic
FBgn0261574	FBgn0284221	kug	Sema5c	genetic
FBgn0030352	FBgn0033799	sicily	GLaz	genetic
FBgn0003391	FBgn0000499	shg	dsh	genetic
FBgn0032683	FBgn0020440	kon	Fak	genetic
FBgn0001195	FBgn0045035	His1	tefu	genetic
FBgn0029891	FBgn0024291	Pink1	Sirt1	genetic
FBgn0015790	FBgn0033483	Rab11	egr	genetic
FBgn0015513	FBgn0001965	mbc	Sos	genetic
FBgn0266420	FBgn0263346	Ote	smash	genetic
FBgn0003463	FBgn0004657	sog	mys	genetic
FBgn0001319	FBgn0283521	kn	lola	genetic
FBgn0004198	FBgn0000283	ct	Cp190	genetic
FBgn0034314	FBgn0260635	nopo	Diap1	genetic
FBgn0003023	FBgn0264270	otu	Sxl	genetic
FBgn0260635	FBgn0002622	Diap1	RpS3	genetic
FBgn0001297	FBgn0243512	kay	puc	genetic
FBgn0260945	FBgn0021796	Atg1	mTor	genetic
FBgn0283712	FBgn0085447	LIMK1	sif	genetic
FBgn0033247	FBgn0031399	Nup44A	mio	genetic
FBgn0003205|FBgn0002121	FBgn0000117	Ras85D|l(2)gl	arm	genetic
FBgn0011706	FBgn0015247	rpr	Diap2	genetic
FBgn0000719	FBgn0029870	fog	Marf	genetic
FBgn0034646	FBgn0036896	Rae1	wnd	genetic
FBgn0003731	FBgn0001965	Egfr	Sos	genetic
FBgn0028343	FBgn0027889	Ankle2	ball	genetic
FBgn0262739	FBgn0002466	AGO1	sti	genetic
FBgn0011829	FBgn0004456|FBgn0004657	Ret	mew|mys	genetic
FBgn0004569	FBgn0260635	aos	Diap1	genetic
FBgn0003205	FBgn0014020	Ras85D	Rho1	genetic
FBgn0025641	FBgn0082582	DAAM	tmod	genetic
FBgn0000463	FBgn0011591	Delta	fng	genetic
FBgn0015286	FBgn0003205	Rala	Ras85D	genetic
FBgn0000346	FBgn0265514	comt	E(comt<up>6</up>)E32	genetic
FBgn0003205|FBgn0263289	FBgn0001078	Ras85D|scrib	ftz-f1	genetic
FBgn0004034	FBgn0002781	y	mod(mdg4)	genetic
FBgn0004647	FBgn0263006	N	SERCA	genetic
FBgn0004583|FBgn0025742	FBgn0026181	ex|mtm	Rok	genetic
FBgn0003079	FBgn0016647	Raf	ER3-5	genetic
FBgn0000392	FBgn0015218	cup	eIF4E1	genetic
FBgn0010333	FBgn0026404	Rac1	Dronc	genetic
FBgn0003268	FBgn0261278	rod	grp	genetic
FBgn0003205	FBgn0015774	Ras85D	NetB	genetic
FBgn0030343	FBgn0062413	ATP7	Ctr1A	genetic
FBgn0003205|FBgn0002121	FBgn0034476	Ras85D|l(2)gl	Toll-7	genetic
FBgn0003391	FBgn0004889	shg	tws	genetic
FBgn0029891	FBgn0031006	Pink1	rictor	genetic
FBgn0011766	FBgn0262519	E2f1	Mi-2	genetic
FBgn0003944	FBgn0261617	Ubx	nej	genetic
FBgn0262656	FBgn0037363	Myc	Atg17	genetic
FBgn0014179	FBgn0024371	gcm	E2f2	genetic
FBgn0283681	FBgn0001218	Tcs3	Hsc70-3	genetic
FBgn0002962	FBgn0000392	nanos	cup	genetic
FBgn0011715	FBgn0010313	Snr1	corto	genetic
FBgn0011592	FBgn0004657	fra	mys	genetic
FBgn0036756	FBgn0038475	Cln3	Keap1	genetic
FBgn0263289|FBgn0261984	FBgn0261108	scrib|Ire1	Atg13	genetic
FBgn0003042	FBgn0260987	Pc	vtd	genetic
FBgn0003041	FBgn0086710	pbl	RpL30	genetic
FBgn0041174	FBgn0041171	Vhl	ago	genetic
FBgn0001319	FBgn0004198	kn	ct	genetic
FBgn0035432|FBgn0033096	FBgn0025693	ZnT63C|Zip42C.1	ZnT41F	genetic
FBgn0029687	FBgn0016684	Vap33	NaPi-T	genetic
FBgn0266411	FBgn0264785	sima	Hph	genetic
FBgn0002643	FBgn0000463	mam	Delta	genetic
FBgn0003042	FBgn0040071	Pc	tara	genetic
FBgn0004102	FBgn0266450	oc	Kr-h1	genetic
FBgn0046704	FBgn0015609	Liprin-α	CadN	genetic
FBgn0032444	FBgn0010382	CCT4	CycE	genetic
FBgn0027598	FBgn0035601	cindr	Uev1A	genetic
FBgn0020306	FBgn0004647	dom	N	genetic
FBgn0011676	FBgn0000448	Nos	Hr3	genetic
FBgn0000635	FBgn0027356	Fas2	Amph	genetic
FBgn0264694	FBgn0010741	mgr	Pfdn2	genetic
FBgn0011706	FBgn0031089	rpr	aspr	genetic
FBgn0283499	FBgn0262473	InR	Tl	genetic
FBgn0031655	FBgn0263102	Marcal1	psq	genetic
FBgn0020388	FBgn0263391	Gcn5	hts	genetic
FBgn0010341	FBgn0085430	Cdc42	Dora	genetic
FBgn0037470	FBgn0035111	Tailor	Dis3l2	genetic
FBgn0010433	FBgn0264922	ato	Sumo	genetic
FBgn0029891	FBgn0041100	Pink1	park	genetic
FBgn0003997	FBgn0028381	hid	Decay	genetic
FBgn0011706	FBgn0262451	rpr	mir-ban	genetic
FBgn0262081	FBgn0262733	Csk	Src64B	genetic
FBgn0000499	FBgn0001291	dsh	Jra	genetic
FBgn0036053	FBgn0002524	iPLA2-VIA	lace	genetic
FBgn0029067	FBgn0003169	Dd	put	genetic
FBgn0004872	FBgn0003371	piwi	sgg	genetic
FBgn0034708	FBgn0031450	Vps35	Hrs	genetic
FBgn0004647	FBgn0267698	N	Pak	genetic
FBgn0034970	FBgn0265045	yki	Strn-Mlck	genetic
FBgn0011829	FBgn0028091	Ret	l(3)S081003	genetic
FBgn0031575	FBgn0035989	Cep97	Atat	genetic
FBgn0015279	FBgn0010379	Pi3K92E	Akt	genetic
FBgn0000117	FBgn0000499	arm	dsh	genetic
FBgn0004647	FBgn0035142	N	Hipk	genetic
FBgn0013263	FBgn0005617	Trl	msl-1	genetic
FBgn0003996	FBgn0014893	w	Wow	genetic
FBgn0036746	FBgn0265784	Crtc	CrebB	genetic
FBgn0015946	FBgn0266717	grim	Bruce	genetic
FBgn0036272	FBgn0034335	Sms	GstE1	genetic
FBgn0021796	FBgn0263395	mTor	hppy	genetic
FBgn0000382	FBgn0010269	csw	Dsor1	genetic
FBgn0052220	FBgn0285944	Csas	para	genetic
FBgn0034970	FBgn0004647|FBgn0001257	yki	N|ImpL2	genetic
FBgn0003079	FBgn0086356	Raf	tum	genetic
FBgn0003042	FBgn0022238	Pc	lolal	genetic
FBgn0037960	FBgn0000273	mthl5	Pka-C1	genetic
FBgn0000212	FBgn0040071	brm	tara	genetic
FBgn0031170	FBgn0261456	Abca3	hpo	genetic
FBgn0032339	FBgn0031399	Wdr59	mio	genetic
FBgn0003862	FBgn0010825	trx	Gug	genetic
FBgn0014006	FBgn0010303	Ask1	hep	genetic
FBgn0029891	FBgn0010213	Pink1	Sod2	genetic
FBgn0001108	FBgn0262069	DCTN1-p150	EG79	genetic
FBgn0004391	FBgn0004106	shtd	Cdk1	genetic
FBgn0003996	FBgn0003042	w	Pc	genetic
FBgn0004647	FBgn0001169	N	H	genetic
FBgn0037875	FBgn0051860	ZnT86D	ZnT33D	genetic
FBgn0036754	FBgn0039044	ais	p53	genetic
FBgn0000015	FBgn0013263	Abd-B	Trl	genetic
FBgn0020306	FBgn0260945	dom	Atg1	genetic
FBgn0000964	FBgn0005638	tj	slbo	genetic
FBgn0003444	FBgn0002044	smo	swm	genetic
FBgn0004956	FBgn0031267	upd1	Ipk2	genetic
FBgn0010194	FBgn0015380|FBgn0033791	Wnt5	drl|Drl-2	genetic
FBgn0031655	FBgn0265623	Marcal1	Su(z)2	genetic
FBgn0003462	FBgn0030975	Sod1	SdhBL	genetic
FBgn0003117	FBgn0062689	pnr	EP1388	genetic
FBgn0288433	FBgn0085432	L	pan	genetic
FBgn0261341	FBgn0260653	verm	serp	genetic
FBgn0015269	FBgn0032151	Nf1	nAChRα6	genetic
FBgn0003862|FBgn0000212	FBgn0261403	trx|brm	sxc	genetic
FBgn0003042	FBgn0262519	Pc	Mi-2	genetic
FBgn0003205	FBgn0016731	Ras85D	SR3-10	genetic
FBgn0062442	FBgn0026479	Cisd	Drp1	genetic
FBgn0038453	FBgn0026479	Arl6IP1	Drp1	genetic
FBgn0036641	FBgn0000636	Smn	Fas3	genetic
FBgn0264357	FBgn0000108	SNF4Aγ	Appl	genetic
FBgn0003997	FBgn0263864	hid	Dark	genetic
FBgn0030685	FBgn0003731	Graf	Egfr	genetic
FBgn0283499	FBgn0037248	InR	srl	genetic
FBgn0003041	FBgn0037315	pbl	Cerk	genetic
FBgn0002573	FBgn0026252	sens	msk	genetic
FBgn0000382	FBgn0016794	csw	dos	genetic
FBgn0261617	FBgn0004618	nej	gl	genetic
